name,platform,global_sales,critic_score,critic_count,user_score,user_count
Basketball Hall of Fame Ultimate Hoops Challenge,Wii,0.06,,,,
Bass Pro Shops: The Hunt,Wii,0.21,,,,
Bass Pro Shops: The Hunt,X360,0.07,,,,
Bass Pro Shops: The Strike,Wii,0.46,,,7.6,5
Bass Pro Shops: The Strike,X360,0.2,63,4,5.8,5
Batman: Arkham Asylum,PS3,3.95,91,70,8.8,748
Batman: Arkham Asylum,X360,3.23,92,78,8.7,862
Batman: Arkham City,PS3,4.81,96,42,8.5,1417
Batman: Arkham City,X360,4.32,94,87,8.6,1194
Batman: Arkham City,WiiU,0.2,85,38,8.1,148
Batman: Arkham Origins,PS3,1.53,76,46,7.8,398
Batman: Arkham Origins,X360,1.31,74,45,7.6,514
Batman: Arkham Origins,WiiU,0.14,70,4,7.5,72
Batman: Arkham Origins Blackgate,PSV,0.2,61,37,7.3,64
Batman: Arkham Origins Blackgate,3DS,0.11,68,6,6.5,23
Batman: The Brave and the Bold the Videogame,Wii,0.24,,,,
Battalion Wars 2,Wii,0.33,75,38,7.4,38
Battle Fantasia,X360,0.08,71,22,6.6,8
Battle Fantasia,PS3,0.01,67,9,5.9,7
Battle of Giants: Dinosaurs Strike,Wii,0.16,,,,
Battle Princess of Arcadias,PS3,0.02,,,,
Battle Rage,Wii,0.04,,,,
Battle Robot Soul,PSP,0.01,,,,
Battle Spirits: Hero's Soul,PSP,0.02,,,,
Battle Spirits: Kiseki no Hasha,PSP,0.02,,,,
Battle vs. Chess,PS3,0.03,,,,
Battle vs. Chess,X360,0.02,,,,
Battlefield 2: Modern Combat,X360,0.39,77,54,7.3,73
Battlefield 3,X360,7.11,84,57,7.4,2054
Battlefield 3,PS3,6.81,85,38,7.4,1617
Battlefield 4,X360,2.63,79,21,5.6,421
Battlefield 4,PS3,2.36,80,14,5.8,443
Battlefield 4,PS4,1.41,86,16,6.5,544
Battlefield 4,XOne,1.13,,,6.3,203
Battlefield: Bad Company,X360,1.42,83,71,7.7,228
Battlefield: Bad Company,PS3,1.28,84,50,8.1,165
Battlefield: Bad Company 2,X360,3.37,88,75,8.7,789
Battlefield: Bad Company 2,PS3,2.84,88,59,8.6,476
Battlestations: Midway,X360,0.24,73,55,7.1,39
Battlestations: Pacific,X360,0.3,76,48,7.6,34
Battlezone,PSP,0.03,57,13,,
Bayonetta,PS3,1.12,87,54,7.8,237
Bayonetta,X360,0.88,90,86,7.9,458
"BCFX: The Black College Football Xperience, The Doug Williams Edition",X360,0.14,,,,
Beastly,Wii,0.03,,,,
Beat Sketch!,PS3,0.08,,,,
Beaterator,PSP,0.06,80,44,8.2,10
Beautiful Katamari,X360,0.29,73,52,7.1,32
Bee Movie Game,Wii,0.33,62,16,,
Bee Movie Game,X360,0.16,71,25,5.5,8
Beijing 2008,PS3,0.84,,,,
Beijing 2008,X360,0.57,,,,
Bejeweled 3,X360,0.12,78,13,8.4,7
Bejeweled 3,PS3,0.1,76,5,,
Ben 10 Alien Force: Vilgax Attacks,Wii,0.43,65,5,4,4
Ben 10 Alien Force: Vilgax Attacks,PSP,0.41,,,,
Ben 10 Alien Force: Vilgax Attacks,X360,0.21,61,9,,
Ben 10 Galactic Racing,Wii,0.11,,,,
Ben 10 Galactic Racing,X360,0.07,,,,
Ben 10 Galactic Racing,PS3,0.07,,,,
Ben 10 Galactic Racing,3DS,0.07,,,,
Ben 10 Galactic Racing,PSV,0.03,,,3.3,7
Ben 10 Ultimate Alien: Cosmic Destruction,Wii,0.27,,,,
Ben 10 Ultimate Alien: Cosmic Destruction,PSP,0.22,,,,
Ben 10 Ultimate Alien: Cosmic Destruction,PS3,0.21,,,,
Ben 10 Ultimate Alien: Cosmic Destruction,X360,0.16,51,5,,
Ben 10: Alien Force,Wii,0.79,45,6,7.6,10
Ben 10: Alien Force,PSP,0.55,,,7.5,11
Ben 10: Protector of Earth,Wii,1.22,63,6,7.4,8
Ben 10: Protector of Earth,PSP,0.69,60,4,6.8,19
Beowulf: The Game,X360,0.4,51,23,4.5,22
Beowulf: The Game,PS3,0.15,51,18,4.9,12
Beowulf: The Game,PSP,0.08,44,4,,
Bermuda Triangle: Saving the Coral,Wii,0.01,,,,
Beyblade: Metal Fusion - Battle Fortress,Wii,0.18,,,,
Beyond the Labyrinth,3DS,0.03,,,,
Beyond: Two Souls,PS3,1.03,70,98,8.1,2061
Big Beach Sports,Wii,1.64,44,17,8.1,39
Big Beach Sports 2,Wii,0.21,,,,
Big Brain Academy: Wii Degree,Wii,3.75,68,33,6.9,37
Big Family Games,Wii,0.24,,,,
Big League Sports,X360,0.18,,,,
Big League Sports,Wii,0.1,,,1.4,10
Big League Sports: Summer,Wii,0.09,,,,
Bigfoot King of Crush,Wii,0.02,,,,
Bigfoot: Collision Course,Wii,0.31,,,,
Billy the Wizard: Rocket Broomstick Racing,Wii,0.05,,,,
Billy's Boot Camp: Wii de Enjoy Diet!,Wii,0.07,,,,
Binary Domain,PS3,0.27,72,33,7.9,116
Binary Domain,X360,0.15,74,43,8,157
Biohazard: Revival Selection,PS3,0.18,,,,
Biohazard: Revival Selection,X360,0.03,,,,
Bionic Commando,PS3,0.34,71,48,7.4,46
Bionic Commando,X360,0.27,70,65,7.5,79
Bionicle Heroes,X360,0.06,59,26,6.4,14
Bionicle Heroes,Wii,0.03,52,7,5,4
BioShock,X360,2.72,96,88,8.8,1893
BioShock,PS3,1.26,94,51,8.7,602
BioShock 2,X360,2.1,88,93,8.2,456
BioShock 2,PS3,1.44,88,62,8.3,346
BioShock Infinite,X360,1.63,93,33,8.4,1335
BioShock Infinite,PS3,1.26,94,27,8.4,1367
Birds of Steel,PS3,0.15,73,27,8.2,15
Birds of Steel,X360,0.09,77,18,8.8,17
Birthday Party Bash,Wii,0.3,,,,
BIT.TRIP COMPLETE,Wii,0.07,84,19,8.8,13
BIT.TRIP SAGA,3DS,0.09,75,21,8,22
Black * Rock Shooter: The Game,PSP,0.15,66,19,6.8,29
Blacksite: Area 51,X360,0.55,62,48,6,58
Blacksite: Area 51,PS3,0.08,56,23,6.1,14
Blackwater,X360,0.11,37,12,4.4,11
Blade Dancer: Lineage of Light,PSP,0.06,60,33,6.7,15
Blades of Time,PS3,0.07,53,19,6.4,19
Blades of Time,X360,0.06,52,23,6.1,26
Bladestorm: The Hundred Years' War,PS3,0.26,58,23,8.1,26
Bladestorm: The Hundred Years' War,X360,0.09,63,26,7.7,11
"Blast Works: Build, Trade, Destroy",Wii,0.09,78,30,8.1,15
BlazBlue Chronophantasma,PS3,0.12,,,,
BlazBlue: Calamity Trigger,PS3,0.53,87,50,8.5,96
BlazBlue: Calamity Trigger,X360,0.34,86,51,8.7,61
BlazBlue: Calamity Trigger Portable,PSP,0.1,82,14,8.4,12
BlazBlue: Continuum Shift,PS3,0.36,87,29,7.9,56
BlazBlue: Continuum Shift,X360,0.28,85,32,8.7,23
Blazblue: Continuum Shift Extend,PS3,0.09,73,6,7.7,23
Blazblue: Continuum Shift Extend,PSV,0.08,83,28,7.7,71
Blazblue: Continuum Shift Extend,PSP,0.01,,,,
BlazBlue: Continuum Shift II,PSP,0.12,77,8,8,6
BlazBlue: Continuum Shift II,3DS,0.09,64,14,6.4,16
Blaze Union: Story to Reach the Future,PSP,0.03,,,,
Blazing Angels 2: Secret Missions of WWII,PS3,0.12,70,10,7.2,12
Blazing Angels 2: Secret Missions of WWII,X360,0.12,72,24,8.3,9
Blazing Angels: Squadrons of WWII,Wii,0.81,57,11,6.8,27
Blazing Angels: Squadrons of WWII,PS3,0.64,67,26,6.9,9
Blazing Angels: Squadrons of WWII,X360,0.4,66,58,7.9,52
Blazing Souls: Accelate,PSP,0.04,,,7.7,14
